date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team,away_team,teamA_PTS,teamB_PTS,teamA_FG_PCT,teamB_FG_PCT,teamA_FT_PCT,teamB_FT_PCT,teamA_FG3_PCT,teamB_FG3_PCT,teamA_AST,teamB_AST,teamA_REB,teamB_REB
2016-10-31,2017,atlanta,sacramento,1,106,95,-310.0,250.0,203.0,7.5,101.5,2016-10-31,21600044.0,Final,1610612737.0,1610612758.0,2016.0,1610612737.0,106.0,0.418,0.617,0.3670000000000001,24.0,43.0,1610612758.0,95.0,0.48,0.684,0.435,26.0,38.0,1.0,atlanta,sacramento,106.0,95.0,0.418,0.48,0.617,0.684,0.3670000000000001,0.435,24.0,26.0,43.0,38.0
2016-10-31,2017,denver,toronto,0,102,105,230.0,-290.0,206.5,-6.5,102.0,2016-10-31,21600042.0,Final,1610612761.0,1610612743.0,2016.0,1610612761.0,105.0,0.466,0.76,0.25,16.0,43.0,1610612743.0,102.0,0.407,0.7709999999999999,0.409,14.0,46.0,1.0,toronto,denver,102.0,105.0,0.407,0.466,0.7709999999999999,0.76,0.409,0.25,14.0,16.0,46.0,43.0
2016-11-01,2017,memphis,minnesota,0,80,116,285.0,-350.0,197.5,-7.5,97.0,2016-11-01,21600052.0,Final,1610612750.0,1610612763.0,2016.0,1610612750.0,116.0,0.551,0.7829999999999999,0.6,29.0,50.0,1610612763.0,80.0,0.36,0.759,0.1669999999999999,10.0,32.0,1.0,minnesota,memphis,80.0,116.0,0.36,0.551,0.759,0.7829999999999999,0.1669999999999999,0.6,10.0,29.0,32.0,50.0
2016-11-01,2017,golden state,portland,0,127,104,-240.0,200.0,225.5,5.5,113.0,2016-11-01,21600054.0,Final,1610612757.0,1610612744.0,2016.0,1610612757.0,104.0,0.43,0.762,0.359,23.0,32.0,1610612744.0,127.0,0.562,0.7390000000000001,0.385,36.0,45.0,0.0,portland,golden state,127.0,104.0,0.562,0.43,0.7390000000000001,0.762,0.385,0.359,36.0,23.0,45.0,32.0
2016-11-01,2017,san antonio,utah,1,91,106,-575.0,435.0,186.0,9.5,99.0,2016-11-01,21600053.0,Final,1610612759.0,1610612762.0,2016.0,1610612759.0,91.0,0.434,0.905,0.3,19.0,34.0,1610612762.0,106.0,0.5,0.833,0.484,22.0,39.0,0.0,san antonio,utah,91.0,106.0,0.434,0.5,0.905,0.833,0.3,0.484,19.0,22.0,34.0,39.0
2016-11-01,2017,indiana,la lakers,1,115,108,-450.0,355.0,213.5,9.0,105.0,2016-11-01,21600048.0,Final,1610612754.0,1610612747.0,2016.0,1610612754.0,115.0,0.471,0.7929999999999999,0.357,19.0,43.0,1610612747.0,108.0,0.449,0.88,0.214,14.0,44.0,1.0,indiana,la lakers,115.0,108.0,0.471,0.449,0.7929999999999999,0.88,0.357,0.214,19.0,14.0,43.0,44.0
2016-11-01,2017,milwaukee,new orleans,0,117,113,145.0,-165.0,204.5,-3.5,101.0,2016-11-01,21600051.0,Final,1610612740.0,1610612749.0,2016.0,1610612740.0,113.0,0.439,0.78,0.346,23.0,42.0,1610612749.0,117.0,0.484,0.905,0.313,30.0,49.0,0.0,new orleans,milwaukee,117.0,113.0,0.484,0.439,0.905,0.78,0.313,0.346,30.0,23.0,49.0,42.0
2016-11-01,2017,cleveland,houston,1,128,120,-540.0,420.0,217.0,9.5,108.5,2016-11-01,21600047.0,Final,1610612739.0,1610612745.0,2016.0,1610612739.0,128.0,0.518,0.8390000000000001,0.5,22.0,46.0,1610612745.0,120.0,0.478,0.68,0.386,30.0,32.0,1.0,cleveland,houston,128.0,120.0,0.518,0.478,0.8390000000000001,0.68,0.5,0.386,22.0,30.0,46.0,32.0
2016-11-01,2017,miami,sacramento,1,108,96,-165.0,145.0,199.5,3.5,99.0,2016-11-01,21600049.0,Final,1610612748.0,1610612758.0,2016.0,1610612748.0,108.0,0.43,0.7240000000000001,0.4479999999999999,24.0,45.0,1610612758.0,96.0,0.382,0.852,0.217,12.0,53.0,1.0,miami,sacramento,108.0,96.0,0.43,0.382,0.7240000000000001,0.852,0.4479999999999999,0.217,24.0,12.0,45.0,53.0
2016-11-01,2017,detroit,new york,1,102,89,-170.0,150.0,203.0,4.0,101.0,2016-11-01,21600050.0,Final,1610612765.0,1610612752.0,2016.0,1610612765.0,102.0,0.461,0.5710000000000001,0.615,19.0,48.0,1610612752.0,89.0,0.407,0.8,0.318,18.0,43.0,1.0,detroit,new york,102.0,89.0,0.461,0.407,0.5710000000000001,0.8,0.615,0.318,19.0,18.0,48.0,43.0
