date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,teamA_nick,teamB_nick,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team_name,away_team_name
2007-11-21,2008,memphis,toronto,1,89,95,-175.0,155.0,211.5,4.0,103.5,grizzlies,raptors,2007-11-21,20700163,Final,1610612763,1610612761,2007,1610612763,89.0,0.405,0.8,0.208,17.0,51.0,1610612761,95.0,0.391,0.923,0.524,21.0,47.0,0,grizzlies,raptors
2007-11-21,2008,phoenix,sacramento,1,127,111,-1600.0,1000.0,216.0,14.0,108.0,suns,kings,2007-11-21,20700167,Final,1610612756,1610612758,2007,1610612756,127.0,0.5329999999999999,0.905,0.417,33.0,38.0,1610612758,111.0,0.4529999999999999,0.647,0.176,12.0,55.0,1,suns,kings
2007-11-23,2008,denver,minnesota,1,99,93,-1900.0,1500.0,209.0,14.0,104.0,nuggets,timberwolves,2007-11-23,20700177,Final,1610612743,1610612750,2007,1610612743,99.0,0.38,0.878,0.214,21.0,46.0,1610612750,93.0,0.386,0.625,0.417,25.0,49.0,1,nuggets,timberwolves
2007-11-23,2008,detroit,philadelphia,1,83,78,-600.0,450.0,184.0,9.5,90.5,pistons,76ers,2007-11-23,20700174,Final,1610612765,1610612755,2007,1610612765,83.0,0.415,0.722,0.143,24.0,36.0,1610612755,78.0,0.391,0.7240000000000001,0.2,13.0,47.0,1,pistons,76ers
2007-11-23,2008,portland,sacramento,1,87,84,-200.0,170.0,204.0,4.5,101.0,trail blazers,kings,2007-11-23,20700180,Final,1610612757,1610612758,2007,1610612757,87.0,0.452,0.593,0.25,21.0,38.0,1610612758,84.0,0.444,0.722,0.368,18.0,36.0,1,trail blazers,kings
2007-11-24,2008,cleveland,toronto,1,111,108,-200.0,170.0,190.5,4.5,97.0,cavaliers,raptors,2007-11-24,20700183,Final,1610612739,1610612761,2007,1610612739,111.0,0.518,0.632,0.433,28.0,47.0,1610612761,108.0,0.494,0.909,0.286,25.0,28.0,1,cavaliers,raptors
2007-11-24,2008,memphis,washington,1,124,118,-230.0,190.0,213.0,5.5,110.0,grizzlies,wizards,2007-11-24,20700187,Final,1610612763,1610612764,2007,1610612763,124.0,0.526,0.879,0.4479999999999999,23.0,41.0,1610612764,118.0,0.495,0.778,0.526,24.0,39.0,1,grizzlies,wizards
2007-11-25,2008,detroit,utah,1,93,103,100.0,-120.0,190.0,-1.0,97.5,pistons,jazz,2007-11-25,20700194,Final,1610612765,1610612762,2007,1610612765,93.0,0.395,0.679,0.462,22.0,42.0,1610612762,103.0,0.52,0.733,0.214,28.0,42.0,0,pistons,jazz
2007-11-26,2008,dallas,washington,1,98,110,-1100.0,750.0,208.0,12.0,107.5,mavericks,wizards,2007-11-26,20700199,Final,1610612742,1610612764,2007,1610612742,98.0,0.3929999999999999,1.0,0.143,19.0,43.0,1610612764,110.0,0.507,0.794,0.368,13.0,38.0,0,mavericks,wizards
2007-11-26,2008,golden state,phoenix,1,129,114,170.0,-200.0,229.5,-5.0,113.0,warriors,suns,2007-11-26,20700203,Final,1610612744,1610612756,2007,1610612744,129.0,0.515,0.706,0.4639999999999999,31.0,39.0,1610612756,114.0,0.489,0.833,0.421,31.0,48.0,1,warriors,suns
2007-11-26,2008,new york,utah,1,113,109,200.0,-240.0,194.0,-5.5,100.0,knicks,jazz,2007-11-26,20700197,Final,1610612752,1610612762,2007,1610612752,113.0,0.532,0.846,0.412,15.0,32.0,1610612762,109.0,0.506,0.7240000000000001,0.133,24.0,42.0,1,knicks,jazz
2007-11-26,2008,sacramento,san antonio,1,112,99,220.0,-260.0,194.5,-6.0,96.5,kings,spurs,2007-11-26,20700200,Final,1610612758,1610612759,2007,1610612758,112.0,0.551,0.913,0.417,18.0,42.0,1610612759,99.0,0.4479999999999999,0.6,0.36,24.0,43.0,1,kings,spurs
2007-11-27,2008,denver,indiana,1,110,112,-355.0,295.0,216.5,7.0,104.0,nuggets,pacers,2007-11-27,20700209,Final,1610612743,1610612754,2007,1610612743,110.0,0.361,0.816,0.409,25.0,47.0,1610612754,112.0,0.484,0.643,0.286,31.0,59.0,0,nuggets,pacers
2007-11-27,2008,milwaukee,philadelphia,1,99,114,-265.0,225.0,187.0,6.0,95.5,bucks,76ers,2007-11-27,20700207,Final,1610612749,1610612755,2007,1610612749,99.0,0.493,0.913,0.19,20.0,35.0,1610612755,114.0,0.523,0.762,0.381,31.0,39.0,0,bucks,76ers
2007-11-28,2008,atlanta,milwaukee,1,96,80,-170.0,150.0,197.5,3.5,99.0,hawks,bucks,2007-11-28,20700213,Final,1610612737,1610612749,2007,1610612737,96.0,0.473,0.833,0.545,18.0,38.0,1610612749,80.0,0.4429999999999999,0.789,0.176,16.0,34.0,1,hawks,bucks
2007-11-28,2008,dallas,minnesota,1,109,103,-1700.0,1050.0,197.5,14.0,97.5,mavericks,timberwolves,2007-11-28,20700215,Final,1610612742,1610612750,2007,1610612742,109.0,0.5,0.821,0.1,21.0,44.0,1610612750,103.0,0.494,0.7140000000000001,0.125,14.0,40.0,1,mavericks,timberwolves
2007-11-28,2008,philadelphia,utah,1,95,106,220.0,-260.0,195.5,-6.5,103.0,76ers,jazz,2007-11-28,20700212,Final,1610612755,1610612762,2007,1610612755,95.0,0.429,0.706,0.313,20.0,39.0,1610612762,106.0,0.5489999999999999,0.7879999999999999,0.3329999999999999,32.0,36.0,0,76ers,jazz
2007-11-28,2008,san antonio,washington,1,109,94,-1100.0,750.0,200.0,12.5,104.0,spurs,wizards,2007-11-28,20700216,Final,1610612759,1610612764,2007,1610612759,109.0,0.5660000000000001,0.765,0.476,30.0,38.0,1610612764,94.0,0.467,0.8,0.5329999999999999,22.0,36.0,1,spurs,wizards
2007-11-29,2008,boston,new york,1,104,59,-1000.0,700.0,189.0,12.5,93.5,celtics,knicks,2007-11-29,20700221,Final,1610612738,1610612752,2007,1610612738,104.0,0.4679999999999999,0.72,0.545,27.0,51.0,1610612752,59.0,0.303,0.647,0.2,12.0,35.0,1,celtics,knicks
2007-11-29,2008,golden state,houston,1,113,94,110.0,-130.0,208.5,-2.0,103.0,warriors,rockets,2007-11-29,20700223,Final,1610612744,1610612745,2007,1610612744,113.0,0.519,0.6859999999999999,0.389,22.0,45.0,1610612745,94.0,0.446,0.5670000000000001,0.2,25.0,41.0,1,warriors,rockets
2007-11-30,2008,atlanta,new orleans,1,86,92,100.0,-120.0,187.0,-1.0,93.0,hawks,pelicans,2007-11-30,20700227,Final,1610612737,1610612740,2007,1610612737,86.0,0.456,0.72,0.4,22.0,41.0,1610612740,92.0,0.407,0.773,0.25,15.0,49.0,0,hawks,pelicans
